Gene_Symbol	idgTDL_old	idgTDL_new	druggability_tier	cancer_druggability	ab_bucket_num	ab_bucket_name	sm_bucket_num	sm_bucket_name	protac_bucket_num	protac_bucket_name	task_pharos_tclin_vs_others	task_pharos_tclin_tchem_vs_others	task_triage_tier1_vs_others	task_triage_tier12_vs_others	task_cancer_druggability	task_ab_bucket1_vs_others	task_ab_bucket123_vs_others	task_sm_bucket1_vs_others	task_sm_bucket123_vs_others	task_protac_bucket1234_vs_others	task_cancer_type_specific_target_prioritization	task_pan_cancer_target_prioritization	task_T1_targets_only	task_T1_T2_targets	task_T1_T2_T3_targets
ABCC3	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC4	Tchem	TCHEM	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC5	Tchem	TCHEM	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC6	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC8	Tclin	TCLIN	Tier 1	0	4.0	4_UniProt loc high conf	1.0	1_Approved Drug	6.0	6_Database Ubiquitination	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1
ABCC9	Tclin	TCLIN	Tier 1	0	5.0	5_GO CC high conf	1.0	1_Approved Drug	8.0	8_Small Molecule Binder	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1
ABCD1	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCE1	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	Tdark	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCG2	Tchem	TCHEM	Tier 1	1	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
ABCG4	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD11	Tbio	TBIO	-1	0		Not_Assigned	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	Tchem	TCHEM	Tier 1	0	5.0	5_GO CC high conf	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ABHD12B	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14A	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD15	Tdark	TDARK	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	Tchem	TCHEM	Tier 1	0	7.0	7_UniProt SigP or TMHMM	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ABHD16B	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD18	Tdark	TDARK	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD3	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD4	Tdark	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD5	Tbio	TBIO	-1	0		Not_Assigned	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD6	Tchem	TCHEM	-1	0	5.0	5_GO CC high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD8	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	Tbio	TBIO	-1	0	9.0	9_Human Protein Atlas loc		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	Tclin	TCLIN	Tier 1	1	8.0	8_GO CC med conf	1.0	1_Approved Drug	4.0	4_Literature	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1
ABL2	Tchem	TCHEM	Tier 1	0	8.0	8_GO CC med conf	4.0	4_Structure with Ligand	4.0	4_Literature	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
ABLIM1	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM2	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRA	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRAXAS1	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRAXAS2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT1	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB2	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA1	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA2	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACA	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1
ACACB	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1
ACAD10	Tbio	TCHEM	-1	0		Not_Assigned	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD11	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD9	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADL	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADS	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADSB	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAN	Tbio	TBIO	Tier 3A	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	Tbio	TBIO	-1	0	5.0	5_GO CC high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	Tdark	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT1	Tchem	TCHEM	-1	1		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
ACAT2	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD3	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD4	Tdark	TDARK	-1	0		Not_Assigned	4.0	4_Structure with Ligand	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD5	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD6	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD7	Tdark	TDARK	-1	0		Not_Assigned	4.0	4_Structure with Ligand		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCSL	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE	Tclin	TCLIN	Tier 1	0	4.0	4_UniProt loc high conf	1.0	1_Approved Drug	6.0	6_Database Ubiquitination	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1
ACE2	Tchem	TCHEM	Tier 2	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
ACER1	Tbio	TBIO	-1	1	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACER2	Tchem	TCHEM	-1	1	7.0	7_UniProt SigP or TMHMM		Not_Assigned	8.0	8_Small Molecule Binder	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ACER3	Tbio	TBIO	-1	1	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand		Not_Assigned	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
